targetCategory,targetType,targetModelIdentifier,modelIdentifierType,enrollmentMode,logicalName,nodeFdn,userLabel,ipsecAreas,subjectAltNameFormat,subjectAltNameValue,expectedHttpStatus,additionalTestInfo,expectedHttpResponse

NODE,ERBS,"19.Q3-J.4.50",OSS_IDENTIFIER,CMPv2_INITIAL,LTEiscfERBS0010001,"NetworkElement=LTEiscfERBS0010001",userLabel_LTEiscfERBS0010001,"TRANSPORT,OM",IPV4,192.168.103.252,400," - Verify IPSEC ISCF is NOT generated when [Non Existing nodeFdn] is provided for CPP node","NormalizedNodeReference MO is null"

NODE,ERBS,"19.Q3-J.4.50",OSS_IDENTIFIER,CMPv2_INITIAL,LTEiscfERBS00102,,userLabel_LTEiscfERBS00102,"TRANSPORT,OM",IPV4,192.168.103.252,400," - Verify IPSEC ISCF is NOT generated for CPP node  when a [null nodeFdn] is provided","Wrong FDN[null]"

NODE,ERBS,"19.Q3-J.4.50",OSS_IDENTIFIER,CMPv2_INITIAL,LTEiscfERBS0010001,blank,userLabel_LTEiscfERBS00102,"TRANSPORT,OM",IPV4,192.168.103.252,400," - Verify IPSEC ISCF is NOT generated for CPP node  when a [blank nodeFdn] is provided","Wrong FDN[]"

NODE,CPP,"19.Q3-J.4.50",OSS_IDENTIFIER,CMPv2_INITIAL,LTEiscfERBS00102,"NetworkElement=LTEiscfERBS00102",LTEiscfERBS00102,"TRANSPORT,OM",IPV4,192.168.103.252,400," - Verify IPSEC ISCF is NOT generated when a [wrong targetType 'CPP'] is provided for CPP ERBS node","node type[CPP] not supported"

NODE,,"19.Q3-J.4.50",OSS_IDENTIFIER,CMPv2_INITIAL,LTEiscfERBS00102,"NetworkElement=LTEiscfERBS00102",LTEiscfERBS00102,"TRANSPORT,OM",IPV4,192.168.103.252,400," - Verify IPSEC ISCF is NOT generated when a [null targetType] is provided for CPP ERBS node","Wrong node type[null]"

